,for_date,comp_id,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
103,2022-01-17,5ae3c24d-17d7-4537-8a23-e657475607c3,rentcast,as163,as1631a2,"1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15,2022-01-18 04:29:17.242574
104,2022-01-17,58fba873-57c5-4ac2-a415-8b807ec55c81,rentcast,as163,as1631a2,1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02,2022-01-18 04:29:17.242574
105,2022-01-17,98912741-1297-4373-b07d-dea8242a01f9,rentcast,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07,2022-01-18 04:29:17.242574
106,2022-01-17,22ac72b7-0b11-410a-ad3b-788964f1d577,rentcast,as163,as1631a2,1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58,2022-01-18 04:29:17.242574
107,2022-01-17,ab7d2371-e706-4061-aa1c-7d74a43e42db,rentcast,as163,as1631a2,1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13,2022-01-18 04:29:17.242574
108,2022-01-17,77df11aa-7f35-44bd-a93b-a7cf14b2840d,rentcast,as163,as1631a2,1045 Silverstone Ln,Cedar,Park,TX,2.0,"1,153",2021-06-19,Single Family,1.732,0.2,2022-01-18 04:29:17.242574
109,2022-01-17,a1286989-b9d8-4794-af92-903eab4f6da8,rentcast,as163,as1631a2,1018 Audra St,Cedar,Park,TX,2.0,"1,165",2022-01-11,Single Family,1.732,0.21,2022-01-18 04:29:17.242574
110,2022-01-17,62e508f1-5236-44cf-813c-a7e580d6c324,rentcast,as163,as1631a2,1006 Reynaldo St,Cedar,Park,TX,2.0,"1,297",2022-01-02,Single Family,1.202,0.27,2022-01-18 04:29:17.242574
111,2022-01-17,11f4cbb5-faf4-452c-8f77-2417c53cff78,rentcast,as163,as1631a2,1201 Brashear Ln,Cedar,Park,TX,2.0,"1,343",2021-11-15,Single Family,1.302,0.23,2022-01-18 04:29:17.242574
112,2022-01-17,bbf5c399-25a0-4057-941f-a8d2f4012cbf,rentcast,as163,as1631a2,800 Lone Star Dr,Cedar,Park,TX,2.0,"1,253",2021-06-19,Single Family,1.522,0.49,2022-01-18 04:29:17.242574
